label	label_norm	module	kind	address	status	src_first5	rom_first5
BHDDFAS	BHDDFAS@BONUS	BONUS	data	0x00C10680	OK		
FRA1	FRA1@BONUS	BONUS	data	0x00C10682	OK		
FRA2	FRA2@BONUS	BONUS	data	0x00C10685	OK		
BT1	BT1@BONUS	BONUS	data	0x00C106AB	OK		
BT1A	BT1A@BONUS	BONUS	data	0x00C106AF	OK		
RT2	RT2@BONUS	BONUS	data	0x00C106B3	OK		
HH1	HH1@BONUS	BONUS	data	0x00C106B7	OK		
HH2	HH2@BONUS	BONUS	data	0x00C106BB	OK		
NULLSTR5	NULLSTR5@BONUS	BONUS	data	0x00C106BF	OK		
BT2	BT2@BONUS	BONUS	data	0x00C106C0	OK		
scroll_white	scroll_white@HSTDP	HSTDP	data	0x00C10A04	OK		
plate_darkp	plate_darkp@HSTDP	HSTDP	data	0x00C10B06	OK		
plate_medp	plate_medp@HSTDP	HSTDP	data	0x00C10B87	OK		
plate_lightp	plate_lightp@HSTDP	HSTDP	data	0x00C10C08	OK		
plate_lightp1	plate_lightp1@HSTDP	HSTDP	data	0x00C10C89	OK		
YOURLOSTTXT	YOURLOSTTXT@HUD	HUD	data	0x00C10D5D	OK		
OFFROADTXT	OFFROADTXT@HUD	HUD	data	0x00C10D61	OK		
cow_pal	cow_pal@ROADKILL	ROADKILL	data	0x00C10F6E	OK		
lgnum43_coolyelo	lgnum43_coolyelo		data	0x00C113B9	OK		
font18_white	font18_white		data	0x00C1143A	OK		
dnums_amber	dnums_amber		data	0x00C114BB	OK		
osg10fnt_white	osg10fnt_white		data	0x00C115BD	OK		
jeep_red	jeep_red@WAVE	WAVE	data	0x00C11721	OK		
jeep_yellow	jeep_yellow@WAVE	WAVE	data	0x00C117A2	OK		
testor_blue	testor_blue		data	0x00C11823	OK		
testor_grape	testor_grape		data	0x00C118A4	OK		
gtruck_bluep	gtruck_bluep@WAVE	WAVE	data	0x00C11A27	OK		
hotrod_yellow	hotrod_yellow		data	0x00C11AA8	OK		
hotrod_brtblue	hotrod_brtblue		data	0x00C11B29	OK		
missle_yellow	missle_yellow		data	0x00C11C2B	OK		
missle_red	missle_red		data	0x00C11CAC	OK		
missle_blue	missle_blue		data	0x00C11D2D	OK		
caravan_redyelo	caravan_redyelo@WAVE	WAVE	data	0x00C11DAE	OK		
caravan_yelogrey	caravan_yelogrey@WAVE	WAVE	data	0x00C11E2F	OK		
cvette_blue	cvette_blue		data	0x00C11EB0	OK		
cvette_red	cvette_red		data	0x00C11F31	OK		
cvette_purple	cvette_purple		data	0x00C11FB2	OK		
muscle_yellow	muscle_yellow		data	0x00C12033	OK		
muscle_green	muscle_green		data	0x00C120B4	OK		
ptruckg_yellr	ptruckg_yellr		data	0x00C12135	OK		
ptruckg_purple	ptruckg_purple		data	0x00C121B6	OK		
tower_bgrey	tower_bgrey		data	0x00C12237	OK		
VERIFY_ADJUSTMENTS_ACCURACYTAB	VERIFY_ADJUSTMENTS_ACCURACYTAB@CMOS	CMOS	data	0x00C12447	OK		
MEMTST1	MEMTST1@MEMTEST	MEMTEST	data	0x00C12C8C	OK		
MINIT10	MINIT10@MOTION	MOTION	data	0x00C12C96	OK		
MINIT11	MINIT11@MOTION	MOTION	data	0x00C12C9D	OK		
MINIT12	MINIT12@MOTION	MOTION	data	0x00C12CA4	OK		
MINIT13	MINIT13@MOTION	MOTION	data	0x00C12CAD	OK		
MINIT9	MINIT9@MOTION	MOTION	data	0x00C12CB1	OK		
MINIT9DIAG	MINIT9DIAG@MOTION	MOTION	data	0x00C12CC1	OK		
MINIT1	MINIT1@MOTION	MOTION	data	0x00C12CC8	OK		
MINITQX	MINITQX@MOTION	MOTION	data	0x00C12CD3	OK		
MINITQY	MINITQY@MOTION	MOTION	data	0x00C12CD9	OK		
MINITQZ	MINITQZ@MOTION	MOTION	data	0x00C12CDF	OK		
MINIT1L	MINIT1L@MOTION	MOTION	data	0x00C12CF7	OK		
MOTOROFF0	MOTOROFF0@MOTION	MOTION	data	0x00C12D09	OK		
MOTOROFF12	MOTOROFF12@MOTION	MOTION	data	0x00C12D60	OK		
MOTOFF_PROG	MOTOFF_PROG@MOTION	MOTION	data	0x00C12D63	OK		
ABORTQ	ABORTQ@MOTION	MOTION	data	0x00C12DC8	OK		
PP	PP@MOTION	MOTION	data	0x00C12E52	OK		
PP1	PP1@MOTION	MOTION	data	0x00C12E63	OK		
PP2	PP2@MOTION	MOTION	data	0x00C12E6F	OK		
PP3	PP3@MOTION	MOTION	data	0x00C12E78	OK		
PP4	PP4@MOTION	MOTION	data	0x00C12E7F	OK		
XQ	XQ		data	0x00C12FD7	OK		
inst1	inst1@DIAG	DIAG	data	0x00C12FE0	OK		
inst2	inst2@DIAG	DIAG	data	0x00C12FE8	OK		
title	title@DIAG	DIAG	data	0x00C12FED	OK		
toexit	toexit		code	0x00C12FF4	OK		
sct	sct@DIAG	DIAG	data	0x00C132A6	OK		
H2HPAL1	H2HPAL1		data	0x00C14000	OK		
H2HPAL2	H2HPAL2		data	0x00C1404E	OK		
redhd1	redhd1		data	0x00C140D0	OK		
yelhd1	yelhd1		data	0x00C140E0	OK		
H2HPAL3	H2HPAL3		data	0x00C140EF	OK		
big2	big2		data	0x00C14171	OK		
CORNPAL	CORNPAL		data	0x00C14400	OK		
cornpops	cornpops		data	0x00C14482	OK		
star	star@BONUS	BONUS	data	0x00C2EE73	OK		
elap	elap@HUD	HUD	data	0x00C2FBF8	OK		
time	time		data	0x00C2FC08	OK		
rpm	rpm@HUD	HUD	data	0x00C32B01	OK		
mph	mph		data	0x00C32B11	OK		
rpmauto	rpmauto@HUD	HUD	data	0x00C32BC2	OK		
rpmman	rpmman@HUD	HUD	data	0x00C32BD2	OK		
mphmph	mphmph@HUD	HUD	data	0x00C32BE2	OK		
kph	kph@HUD	HUD	data	0x00C32BF2	OK		
fixedfnt_tPAL	fixedfnt_tPAL@TEXT	TEXT	data	0x00C3AF60	OK		
kow3	kow3@ROADKILL	ROADKILL	data	0x00C95ABC	OK		
mpcmed	mpcmed@TRACKSEL	TRACKSEL	data	0x00CBE38C	OK		
mpcesy	mpcesy@TRACKSEL	TRACKSEL	data	0x00CBE41D	OK		
mpcexp	mpcexp@TRACKSEL	TRACKSEL	data	0x00CBE4BE	OK		
dcol	dcol@HSTDP	HSTDP	data	0x00CD1EF0	OK		
press_grp	press_grp@HSTDP	HSTDP	data	0x00CD3661	OK		
