address	comment
0x00000971	GROUP
0x00000972	GROUP
0x00000973	GROUP
0x00000974	GROUP
0x00000975	GROUP
0x00000976	GROUP
0x00000977	GROUP
0x00000978	GROUP
0x00000979	GROUP
0x0000097A	GROUP
0x0000097B	GROUP
0x0000097C	GROUP
0x0000097D	GROUP
0x0000097E	GROUP
0x0000097F	GROUP
0x00000980	GROUP
0x00000981	GROUP
0x00000982	GROUP
0x00000983	GROUP
0x00000984	GROUP
0x00000985	GROUP
0x00000986	GROUP
0x00000987	GROUP
0x00000988	GROUP
0x00000989	GROUP
0x0000098A	GROUP
0x0000098B	GROUP
0x0000098C	GROUP
0x0000098D	GROUP
0x0000098E	GROUP
0x0000098F	GROUP
0x00000990	GROUP
0x00000991	GROUP
0x00000992	GROUP
0x00000993	FILL
0x00000994	FILL
0x00000995	FILL
0x00000996	FILL
0x00000997	FILL
0x00000998	FILL
0x0000099B	CLRI
0x0000099C	LDP @DIPSW
0x0000099F	SETDP
0x000009A0	RS
0x000009BF	TEXTITT
0x000009C0	TEXTITT
0x000009C1	TEXTITT
0x000009C2	TEXTITT
0x000009C3	GROUP
0x000009C4	GROUP
0x000009C5	GROUP
0x000009C6	GROUP
0x000009C7	GROUP
0x000009C8	GROUP
0x000009C9	GROUP
0x000009CA	GROUP
0x000009CB	GROUP
0x000009CC	GROUP
0x000009CD	GROUP
0x000009CE	GROUP
0x000009CF	GROUP
0x000009D0	GROUP
0x000009D1	GROUP
0x000009D2	GROUP
0x000009D3	GROUP
0x000009D4	GROUP
0x000009D5	GROUP
0x000009D6	GROUP
0x000009D7	GROUP
0x000009D8	GROUP
0x000009D9	GROUP
0x000009DA	GROUP
0x000009DB	GROUP
0x000009DC	GROUP
0x000009DD	GROUP
0x000009DE	GROUP
0x000009DF	GROUP
0x000009E0	GROUP
0x000009E1	GROUP
0x000009E2	GROUP
0x000009E3	GROUP
0x000009E4	GROUP
0x000009E5	GROUP
0x000009E6	GROUP
0x000009E7	GROUP
0x000009E8	GROUP
0x000009E9	GROUP
0x000009EA	GROUP
0x000009EB	GROUP
0x000009EC	GROUP
0x000009ED	GROUP
0x000009EE	GROUP
0x000009EF	GROUP
0x000009F0	GROUP
0x000009F1	GROUP
0x000009F2	GROUP
0x000009F3	FILL
0x000009F4	FILL
0x000009F5	FILL
0x000009F6	FILL
0x000009F7	FILL
0x000009F8	FILL
0x000009FB	CLRI
0x000009FC	LDP @DIPSW
0x000009FF	SETDP
0x00000A00	RS
0x00000A02	LINE
0x00000A03	LINE
0x00000A04	LINE
0x00000A05	LINE
0x00000A06	LINE
0x00000A07	LINE
0x00000A36	LDL
0x00000A3B	LDL
0x00000A46	LDL
0x00000A4C	LDL
0x00000A51	CLRI
0x00000A58	TEXTIT
0x00000A59	TEXTIT
0x00000A5A	TEXTIT
0x00000A5B	TEXTIT
0x00000A5C	TEXTIT
0x00000A5D	TEXTIT
0x00000A5E	TEXTIT
0x00000A5F	TEXTIT
0x00000A60	TEXTIT
0x00000A61	TEXTIT
0x00000A62	TEXTIT
0x00000A63	TEXTIT
0x00000A6A	IWINDOW
0x00000A6B	IWINDOW
0x00000A6C	IWINDOW
0x00000A6D	IWINDOW
0x00000A6E	IWINDOW
0x00000A82	DEC
0x00000A8C	INC
0x00000A93	LDL
0x00000AA7	DEC
0x00000AB0	DEC
0x00000AEB	LDIL
0x00000AEC	LDIL
0x00000AED	LDIL
0x00000B03	CLRI
0x00000B04	CLRI
0x00000B06	TEXTITT
0x00000B07	TEXTITT
0x00000B08	TEXTITT
0x00000B09	TEXTITT
0x00000B0A	TEXTITT
0x00000B0B	TEXTITT
0x00000B0C	TEXTITT
0x00000B0D	TEXTITT
0x00000B0E	TEXTITT
0x00000B0F	TEXTITT
0x00000B10	TEXTITT
0x00000B11	TEXTITT
0x00000B12	TEXTITT
0x00000B13	TEXTITT
0x00000B14	TEXTITT
0x00000B15	TEXTITT
0x00000B16	LDL
0x00000B17	LDL
0x00000B1D	FILL
0x00000B1E	FILL
0x00000B1F	FILL
0x00000B20	FILL
0x00000B21	FILL
0x00000B22	FILL
0x00000B24	TEXTITT
0x00000B25	TEXTITT
0x00000B26	TEXTITT
0x00000B27	TEXTITT
0x00000B31	FILL
0x00000B32	FILL
0x00000B33	FILL
0x00000B34	FILL
0x00000B35	FILL
0x00000B36	FILL
0x00000B38	TEXTITT
0x00000B39	TEXTITT
0x00000B3A	TEXTITT
0x00000B3B	TEXTITT
0x00000B51	LDL
0x00000B5D	LDL
0x00000B67	TEXTITT
0x00000B68	TEXTITT
0x00000B69	TEXTITT
0x00000B6A	TEXTITT
0x00000B6B	TEXTITT
0x00000B6C	TEXTITT
0x00000B6D	TEXTITT
0x00000B6E	TEXTITT
0x00000B6F	CLRI
0x00000B71	INC
0x00000B7A	TEXTITT
0x00000B7B	TEXTITT
0x00000B7C	TEXTITT
0x00000B7D	TEXTITT
0x00000B82	TEXTITT
0x00000B83	TEXTITT
0x00000B84	TEXTITT
0x00000B85	TEXTITT
0x00000B86	CLRI
0x00000B88	INC
0x00000B90	TEXTITT
0x00000B91	TEXTITT
0x00000B92	TEXTITT
0x00000B93	TEXTITT
0x00000B97	CLRI
0x00000B9B	READAUD
0x00000B9C	READAUD
0x00000BA2	SETADJ
0x00000BA3	SETADJ
0x00000BA6	SOFTWTM
0x00000BA7	SOFTWTM
0x00000BA8	SOFTWTM
0x00000BA9	SOFTWTM
0x00000BAA	DINT
0x00000BAB	DINT
0x00000BAC	DINT
0x00000BAD	DINT
0x00000BAE	DINT
0x00000BAF	DINT
0x00000BB0	LDP @FASTSTKI
0x00000BB4	LDP @SWITCH1
0x00000BB6	SETDP
0x00000BEA	IWINDOW
0x00000BEB	IWINDOW
0x00000BEC	IWINDOW
0x00000BED	IWINDOW
0x00000BEE	IWINDOW
0x00000BEF	IWINDOW
0x00000BF0	IWINDOW
0x00000BF1	IWINDOW
0x00000BF2	IWINDOW
0x00000BF3	IWINDOW
0x00000BFC	FILL
0x00000BFD	FILL
0x00000BFE	FILL
0x00000BFF	FILL
0x00000C00	FILL
0x00000C01	FILL
0x00000C02	FILL
0x00000C03	FILL
0x00000C04	FILL
0x00000C05	FILL
0x00000C06	FILL
0x00000C07	FILL
0x00000C08	FILL
0x00000C09	FILL
0x00000C0A	FILL
0x00000C0B	FILL
0x00000C0C	FILL
0x00000C0D	FILL
0x00000C27	TEXTITT
0x00000C28	TEXTITT
0x00000C29	TEXTITT
0x00000C2A	TEXTITT
0x00000C2B	TEXTITT
0x00000C2C	TEXTITT
0x00000C2D	TEXTITT
0x00000C2E	TEXTITT
0x00000C2F	TEXTITT
0x00000C30	TEXTITT
0x00000C31	TEXTITT
0x00000C32	TEXTITT
0x00000C33	TEXTITT
0x00000C34	TEXTITT
0x00000C35	TEXTITT
0x00000C36	TEXTITT
0x00000C37	TEXTITT
0x00000C38	TEXTITT
0x00000C39	TEXTITT
0x00000C3A	TEXTITT
0x00000C3B	TEXTITT
0x00000C3C	TEXTITT
0x00000C3D	TEXTITT
0x00000C3E	TEXTITT
0x00000C3F	TEXTITT
0x00000C40	TEXTITT
0x00000C41	TEXTITT
0x00000C42	TEXTITT
0x00000C43	TEXTITT
0x00000C44	TEXTITT
0x00000C45	TEXTITT
0x00000C46	TEXTITT
0x00000C47	TEXTITT
0x00000C48	TEXTITT
0x00000C49	TEXTITT
0x00000C4A	TEXTITT
0x00000C4B	TEXTITT
0x00000C4C	TEXTITT
0x00000C4D	TEXTITT
0x00000C4E	TEXTITT
0x00000C4F	TEXTITT
0x00000C50	TEXTITT
0x00000C51	TEXTITT
0x00000C52	TEXTITT
0x00000C53	TEXTITT
0x00000C54	TEXTITT
0x00000C55	TEXTITT
0x00000C56	TEXTITT
0x00000C8E	READADJ
0x00000C8F	READADJ
0x00000CC2	TEXTIT
0x00000CC3	TEXTIT
0x00000CC4	TEXTIT
0x00000CC5	TEXTIT
0x00000CC6	TEXTITT
0x00000CC7	TEXTITT
0x00000CC8	TEXTITT
0x00000CC9	TEXTITT
0x00000CCA	TEXTITT
0x00000CCB	TEXTITT
0x00000CCC	TEXTITT
0x00000CCD	TEXTITT
0x00000CD2	SETADJ
0x00000CD3	SETADJ
0x00000CD5	SETADJ
0x00000CD6	SETADJ
0x00000CD8	SETADJ
0x00000CD9	SETADJ
0x00000CDC	TEXTIT
0x00000CDD	TEXTIT
0x00000CDE	TEXTIT
0x00000CDF	TEXTIT
0x00000CE0	TEXTITT
0x00000CE1	TEXTITT
0x00000CE2	TEXTITT
0x00000CE3	TEXTITT
0x00000CE8	SETADJ
0x00000CE9	SETADJ
0x00000CEC	TEXTIT
0x00000CED	TEXTIT
0x00000CEE	TEXTIT
0x00000CEF	TEXTIT
0x00000CF0	TEXTITT
0x00000CF1	TEXTITT
0x00000CF2	TEXTITT
0x00000CF3	TEXTITT
0x00000CF8	SETADJ
0x00000CF9	SETADJ
0x00000CFC	TEXTIT
0x00000CFD	TEXTIT
0x00000CFE	TEXTIT
0x00000CFF	TEXTIT
0x00000D00	TEXTITT
0x00000D01	TEXTITT
0x00000D02	TEXTITT
0x00000D03	TEXTITT
0x00000D08	SETADJ
0x00000D09	SETADJ
0x00000D0F	TEXTIT
0x00000D10	TEXTIT
0x00000D11	TEXTIT
0x00000D12	TEXTIT
0x00000D13	TEXTITT
0x00000D14	TEXTITT
0x00000D15	TEXTITT
0x00000D16	TEXTITT
0x00000D1B	SETADJ
0x00000D1C	SETADJ
0x00000D20	GROUP
0x00000D21	GROUP
0x00000D22	GROUP
0x00000D23	GROUP
0x00000D24	GROUP
0x00000D25	GROUP
0x00000D26	GROUP
0x00000D27	GROUP
0x00000D28	GROUP
0x00000D29	GROUP
0x00000D2A	GROUP
0x00000D2B	GROUP
0x00000D2C	GROUP
0x00000D2D	GROUP
0x00000D2E	GROUP
0x00000D2F	GROUP
0x00000D30	GROUP
0x00000D31	GROUP
0x00000D32	GROUP
0x00000D33	GROUP
0x00000D34	GROUP
0x00000D35	GROUP
0x00000D36	GROUP
0x00000D37	GROUP
0x00000D38	GROUP
0x00000D39	GROUP
0x00000D3A	GROUP
0x00000D3B	GROUP
0x00000D3C	GROUP
0x00000D3D	GROUP
0x00000D3E	GROUP
0x00000D3F	GROUP
0x00000D40	GROUP
0x00000D41	GROUP
0x00000D42	GROUP
0x00000D43	GROUP
0x00000D44	GROUP
0x00000D45	GROUP
0x00000D46	GROUP
0x00000D47	GROUP
0x00000D48	GROUP
0x00000D49	GROUP
0x00000D4A	GROUP
0x00000D4B	GROUP
0x00000D4C	GROUP
0x00000D4D	GROUP
0x00000D4E	GROUP
0x00000D4F	GROUP
0x00000D50	IWINDOW
0x00000D51	IWINDOW
0x00000D52	IWINDOW
0x00000D53	IWINDOW
0x00000D54	IWINDOW
0x00000D56	TEXTITT
0x00000D57	TEXTITT
0x00000D58	TEXTITT
0x00000D59	TEXTITT
0x00000D5A	IWINDOW
0x00000D5B	IWINDOW
0x00000D5C	IWINDOW
0x00000D5D	IWINDOW
0x00000D5E	IWINDOW
0x00000D5F	FILL
0x00000D60	FILL
0x00000D61	FILL
0x00000D62	FILL
0x00000D63	FILL
0x00000D64	FILL
0x00000D66	TEXTITT
0x00000D67	TEXTITT
0x00000D68	TEXTITT
0x00000D69	TEXTITT
0x00000D6A	TEXTITT
0x00000D6B	TEXTITT
0x00000D6C	TEXTITT
0x00000D6D	TEXTITT
0x00000D6E	TEXTITT
0x00000D6F	TEXTITT
0x00000D70	TEXTITT
0x00000D71	TEXTITT
0x00000D72	TEXTITT
0x00000D73	TEXTITT
0x00000D74	TEXTITT
0x00000D75	TEXTITT
0x00000D76	TEXTITT
0x00000D77	TEXTITT
0x00000D78	TEXTITT
0x00000D79	TEXTITT
0x00000D7A	READADJ
0x00000D7B	READADJ
0x00000D7D	READAUD
0x00000D7E	READAUD
0x00000D82	SOND1
0x00000D83	SOND1
0x00000D84	SOND1
0x00000D85	SOND1
0x00000D8C	LDPI
0x00000D94	SOND1
0x00000D95	SOND1
0x00000D9D	READAUD
0x00000D9E	READAUD
0x00000DA5	SETADJ
0x00000DA6	SETADJ
0x00000DAE	READAUD
0x00000DAF	READAUD
0x00000DB6	SETADJ
0x00000DB7	SETADJ
0x00000DC9	LDL
0x00000DCD	SETDP
0x00000DD1	CLRI
0x00000DD2	SETAUD
0x00000DD3	SETAUD
0x00000DD4	SETAUD
0x00000DD5	SETAUD
0x00000DDB	LDL
0x00000DDF	SETDP
0x00000E63	WINDOW
0x00000E64	WINDOW
0x00000E65	WINDOW
0x00000E66	WINDOW
0x00000E67	WINDOW
0x00000E68	IWINDOW
0x00000E69	IWINDOW
0x00000E6A	IWINDOW
0x00000E6B	IWINDOW
0x00000E6C	IWINDOW
0x00000E82	WAIT_MAC_NOREPEAT
0x00000E83	WAIT_MAC_NOREPEAT
0x00000E84	WAIT_MAC_NOREPEAT
0x00000E85	WAIT_MAC_NOREPEAT
0x00000E86	WINDOW
0x00000E87	WINDOW
0x00000E88	WINDOW
0x00000E89	WINDOW
0x00000E8A	WINDOW
0x00000E8B	IWINDOW
0x00000E8C	IWINDOW
0x00000E8D	IWINDOW
0x00000E8E	IWINDOW
0x00000E8F	IWINDOW
0x00000E99	TEXTITT
0x00000E9A	TEXTITT
0x00000E9B	TEXTITT
0x00000E9C	TEXTITT
0x00000E9D	TEXTITT
0x00000E9E	TEXTITT
0x00000E9F	TEXTITT
0x00000EA0	TEXTITT
0x00000EBC	SOND1
0x00000EBD	SOND1
0x00000EBE	WAIT_MAC_NOREPEAT
0x00000EBF	WAIT_MAC_NOREPEAT
0x00000EC0	WAIT_MAC_NOREPEAT
0x00000EC1	WAIT_MAC_NOREPEAT
0x00000EC5	CLRC
0x00000EC7	SETC
0x00000ECB	READAUD
0x00000ECC	READAUD
0x00000ED6	SETADJ
0x00000ED7	SETADJ
0x00000F62	WAIT_MAC_NOREPEAT
0x00000F63	WAIT_MAC_NOREPEAT
0x00000F64	WAIT_MAC_NOREPEAT
0x00000F65	WAIT_MAC_NOREPEAT
0x00000F6B	WINDOW
0x00000F6C	WINDOW
0x00000F6D	WINDOW
0x00000F6E	WINDOW
0x00000F6F	WINDOW
0x00000F70	IWINDOW
0x00000F71	IWINDOW
0x00000F72	IWINDOW
0x00000F73	IWINDOW
0x00000F74	IWINDOW
0x00000F7E	TEXTITT
0x00000F7F	TEXTITT
0x00000F80	TEXTITT
0x00000F81	TEXTITT
0x00000F82	TEXTITT
0x00000F83	TEXTITT
