timestamp_utc	rom_path	labels_tsv	apply_py	rows_total	rows_code	rows_data	anchors	unresolved	dp0_marks	labels_emitted	promoted_aliases	seed_map	seed_entries	ida_lookup_map	ida_lookup_entries	address_map_entries
2026-06-11T18:00:35.004869+00:00	/Users/j.harris/Downloads/carma/cruisin/crusnusa45_maindata_interleaved_bswap32.bin.lst	/Users/j.harris/code/cruisin-usa/tools/ida/log/romlst_labels.tsv	/Users/j.harris/code/cruisin-usa/tools/ida/ida_label_import.py	6362	1575	2758	776	0	484	6362	1172	/Users/j.harris/code/cruisin-usa/tools/ida/seed-addresses.map	57		0	6362
2026-06-11T18:03:43.264132+00:00	/Users/j.harris/Downloads/carma/cruisin/crusnusa45_maindata_interleaved_bswap32.bin.lst	/Users/j.harris/code/cruisin-usa/tools/ida/log/romlst_labels.tsv	/Users/j.harris/code/cruisin-usa/tools/ida/ida_label_import.py	6362	1575	2758	776	0	484	6362	1172	/Users/j.harris/code/cruisin-usa/tools/ida/seed-addresses.map	57		0	6362
2026-06-11T18:05:17.545066+00:00	/Users/j.harris/Downloads/carma/cruisin/crusnusa45_maindata_interleaved_bswap32.bin.lst	/Users/j.harris/code/cruisin-usa/tools/ida/log/romlst_labels.tsv	/Users/j.harris/code/cruisin-usa/tools/ida/ida_label_import.py	6362	1575	2758	776	0	484	6362	1172	/Users/j.harris/code/cruisin-usa/tools/ida/seed-addresses.map	57		0	6362
2026-06-11T18:19:58.872295+00:00	/Users/j.harris/Downloads/carma/cruisin/crusnusa45_maindata_interleaved_bswap32.bin.lst	/Users/j.harris/code/cruisin-usa/tools/ida/log/romlst_labels.tsv	/Users/j.harris/code/cruisin-usa/tools/ida/ida_label_import.py	6362	1575	2758	776	0	484	6362	1172	/Users/j.harris/code/cruisin-usa/tools/ida/seed-addresses.map	57		0	6362
2026-06-11T18:22:43.920728+00:00	/Users/j.harris/Downloads/carma/cruisin/crusnusa45_maindata_interleaved_bswap32.bin.lst	/Users/j.harris/code/cruisin-usa/tools/ida/log/romlst_labels.tsv	/Users/j.harris/code/cruisin-usa/tools/ida/ida_label_import.py	6362	1575	2758	776	0	484	6362	1172	/Users/j.harris/code/cruisin-usa/tools/ida/seed-addresses.map	57		0	6362
2026-06-11T18:25:33.603723+00:00	/Users/j.harris/Downloads/carma/cruisin/crusnusa45_maindata_interleaved_bswap32.bin.lst	/Users/j.harris/code/cruisin-usa/tools/ida/log/romlst_labels.tsv	/Users/j.harris/code/cruisin-usa/tools/ida/ida_label_import.py	6389	1575	2785	776	0	484	6389	1138	/Users/j.harris/code/cruisin-usa/tools/ida/seed-addresses.map	57		0	6389
2026-06-11T18:26:55.685910+00:00	/Users/j.harris/Downloads/carma/cruisin/crusnusa45_maindata_interleaved_bswap32.bin.lst	/Users/j.harris/code/cruisin-usa/tools/ida/log/romlst_labels.tsv	/Users/j.harris/code/cruisin-usa/tools/ida/ida_label_import.py	6362	1575	2758	776	0	484	6362	1172	/Users/j.harris/code/cruisin-usa/tools/ida/seed-addresses.map	57		0	6362
2026-06-11T18:32:51.204771+00:00	/Users/j.harris/Downloads/carma/cruisin/crusnusa45_maindata_interleaved_bswap32.bin.lst	/Users/j.harris/code/cruisin-usa/tools/ida/log/romlst_labels.tsv	/Users/j.harris/code/cruisin-usa/tools/ida/ida_label_import.py	6362	1575	2758	776	0	484	6362	1172	/Users/j.harris/code/cruisin-usa/tools/ida/seed-addresses.map	57		0	6362
2026-06-11T19:58:17.820313+00:00	/Users/j.harris/Downloads/carma/cruisin/crusnusa45_maindata_interleaved_bswap32.bin.lst	/Users/j.harris/code/cruisin-usa/tools/ida/log/romlst_labels.tsv	/Users/j.harris/code/cruisin-usa/tools/ida/ida_label_import.py	6348	1575	2744	776	0	484	6348	1110	/Users/j.harris/code/cruisin-usa/tools/ida/seed-addresses.map	57		0	6348
2026-06-11T19:59:32.134593+00:00	/Users/j.harris/Downloads/carma/cruisin/crusnusa45_maindata_interleaved_bswap32.bin.lst	/Users/j.harris/code/cruisin-usa/tools/ida/log/romlst_labels.tsv	/Users/j.harris/code/cruisin-usa/tools/ida/ida_label_import.py	6329	1575	2725	776	0	484	6329	1099	/Users/j.harris/code/cruisin-usa/tools/ida/seed-addresses.map	57		0	6329
